,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
174,4,20,26,2,0,2,0,1,2,0,0,2,2,0,0,0,2,1,2,0,0,1,0,1,1,0,0,0,1,0
175,9,1,14,1,1,2,0,1,0,0,0,1,2,2,2,0,1,1,1,2,0,1,1,0,0,1,1,2,1,1
176,17,5,20,0,0,2,0,1,1,2,0,0,2,2,2,2,0,0,1,2,2,1,2,1,1,1,1,1,2,2
177,6,12,9,0,2,2,0,2,2,2,1,1,1,1,2,0,0,0,1,2,2,0,0,0,2,2,1,0,2,2
178,14,11,21,2,0,2,2,2,0,0,0,0,0,0,1,2,1,0,1,1,0,2,2,2,2,1,1,0,0,2
179,6,3,9,0,2,0,0,2,2,0,1,1,1,1,2,0,1,0,1,2,0,1,1,0,2,2,1,0,2,2
180,1,11,0,0,1,2,0,2,1,2,0,0,1,2,0,2,0,0,0,1,1,1,0,0,0,0,1,1,0,1
181,6,5,20,2,0,0,2,2,0,1,1,2,1,1,0,0,0,1,2,1,0,1,0,1,2,1,2,0,2,2
182,12,20,16,0,1,1,2,0,2,2,0,0,1,2,2,2,1,2,0,0,1,1,1,0,2,0,0,1,1,2
183,6,22,0,0,2,0,0,2,2,0,2,0,1,0,2,1,1,0,1,2,1,2,1,1,0,2,1,0,2,0
184,9,20,22,0,1,1,1,0,1,1,2,2,1,0,2,1,2,2,2,0,2,2,0,0,1,2,1,1,1,0
185,10,3,11,1,1,2,1,2,2,0,0,0,1,2,2,1,2,2,1,1,1,1,2,1,1,0,1,2,0,2
186,3,2,0,0,1,0,0,2,1,2,1,1,1,1,2,1,2,0,2,0,1,0,1,0,2,2,2,2,0,0
187,20,21,11,0,0,0,0,1,2,0,2,2,2,2,1,1,2,1,0,0,0,2,1,2,1,0,1,0,0,2
188,15,8,17,1,2,0,0,1,1,1,2,2,1,1,1,0,2,0,0,1,1,0,1,2,1,0,0,0,1,0
189,8,3,24,1,2,1,2,1,1,0,1,0,0,2,0,1,2,2,2,0,1,1,2,0,0,0,2,1,0,1
190,10,17,12,2,0,0,1,1,1,2,0,1,0,1,1,1,0,0,2,2,0,0,0,2,0,1,0,2,0,2
191,10,1,14,1,1,2,0,1,0,0,0,0,2,2,0,2,1,2,1,2,0,1,1,0,0,1,1,2,0,1
192,17,11,19,0,2,2,1,1,1,1,2,2,1,1,2,2,1,2,1,2,2,1,2,2,2,0,1,2,2,1
193,24,10,2,2,1,0,2,2,0,0,1,2,1,1,0,0,2,0,0,2,0,0,0,1,1,2,0,1,1,0
194,14,1,22,0,0,1,2,1,1,2,0,2,0,1,1,0,0,2,0,0,1,2,2,0,0,2,0,2,1,0
195,21,0,5,2,2,1,0,0,2,2,2,0,2,2,1,0,1,2,0,1,0,1,1,0,2,1,2,1,2,2
196,8,24,15,0,2,1,0,1,2,2,0,2,1,2,1,2,1,1,0,1,2,2,2,2,2,0,2,1,1,1
197,0,3,10,0,2,2,1,2,0,2,1,2,1,2,1,2,2,1,1,0,1,0,1,0,2,1,1,2,2,1
198,9,1,14,1,0,2,0,1,0,0,0,0,2,2,0,2,1,2,1,2,0,1,1,0,0,1,1,2,2,1
199,24,23,4,0,0,2,2,1,0,0,1,0,0,0,0,1,1,1,2,0,2,2,1,1,2,2,0,2,0,1
